%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1491900745060793278,168,1491900745058921924,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745160704855,169,1491900745158887772,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745261070443,170,1491900745259057057,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745362189937,171,1491900745358896759,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745460725941,172,1491900745458914169,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745560601476,173,1491900745558893090,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745660686803,174,1491900745658964824,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745762919266,175,1491900745760270880,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745860707926,176,1491900745858924280,,0,0,46.5184745789,6.56662511826,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900745960639295,177,1491900745958882263,,0,0,46.5184745789,6.56662511826,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746061355351,178,1491900746058936340,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746160907449,179,1491900746158886771,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746260649807,180,1491900746258918505,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746360618051,181,1491900746358885238,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746460759732,182,1491900746458931450,,0,0,46.5184707642,6.56662607193,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746562490268,183,1491900746558886465,,0,0,46.5184707642,6.56662607193,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746660703355,184,1491900746658915907,,0,0,46.5184707642,6.5666270256,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746760819880,185,1491900746758882588,,0,0,46.5184707642,6.5666270256,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746861306301,186,1491900746858954113,,0,0,46.5184707642,6.56662654877,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900746964408555,187,1491900746958884075,,0,0,46.5184707642,6.56662654877,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747060691694,188,1491900747058913257,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747160570459,189,1491900747158881552,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747261206984,190,1491900747259131515,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747367500906,191,1491900747358883977,,0,0,46.5184707642,6.56662559509,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747460379669,192,1491900747458908211,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747560601507,193,1491900747558876663,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747660589907,194,1491900747658986521,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747760684609,195,1491900747758885963,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747860404050,196,1491900747858912175,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900747960627294,197,1491900747958899169,,0,0,46.5184707642,6.56662464142,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748060396840,198,1491900748059098246,,0,0,46.5184745789,6.56662654877,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748160179354,199,1491900748158884354,,0,0,46.5184745789,6.56662654877,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748260371296,200,1491900748258961035,,0,0,46.5184745789,6.56662845612,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748360134904,201,1491900748358885008,,0,0,46.5184745789,6.56662845612,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748460538982,202,1491900748458915127,,0,0,46.5184745789,6.56662988663,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
1491900748560606236,203,1491900748558879048,,0,0,46.5184745789,6.56662988663,2.77333781671e-40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
